URGENT,AIRCRAFT,REPORT,TURBULENCE,PRODUCT_ID,FL,LAT,LON,datetime,turbulence_intensity,in_sigmet,Plane Weight
F,M20J,KMEM UA /OV MEM/TM 1850/FL004/TP M20J/TB SEV TURB SHORT FINAL RWY 36R,SEV TURB SHORT FINAL RWY 36R,,400.0,35.06111,-89.985,2017-05-05 18:50:00+00:00,5.0,0,L
F,B739,RNO UA /OV FMG143035/TM 0231/FL390/TP B739/TB OCNL MOD CHOP 390/NEG 370/RM ZOA CWSU,OCNL MOD CHOP 390,,39000.0,39.06409155024016,-119.20480604008404,2017-05-02 02:31:00+00:00,3.0,0,M
T,P750,CNY UUA /OV OAB /TM 1945/FL090/TP P750/TB SEV/RM 15-20KT LLWS  090-SFC.....ZDV,SEV,,9000.0,38.76,-109.75,2017-05-27 19:45:00+00:00,5.0,0,U
F,E190,GSO UA /OV GSO290035/TM 2149/FL350/TP E190/TB LGT-MOD/RM ZTLFD,LGT-MOD,,35000.0,36.29702791074124,-80.62206031081595,2017-05-10 21:49:00+00:00,2.0,0,U
T,BE36,HWY UUA /OV CSN225020/TM 1810/FL070/TP BE36/TB SEV,SEV,,7000.0,38.4042786477023,-78.1717871719638,2017-05-29 18:10:00+00:00,5.0,0,L
T,BE20,LAL UUA /OV LAL180010/TM 1917/FL130/TP BE20/TB SEV/RM ZMACWSU,SEV,,13000.0,27.822239833319838,-82.01856,2017-05-31 19:17:00+00:00,5.0,0,M
F,B777,ADQ UA /OV ODK251049/TM 1355/FL320/TP B777/TB LGT TO MOD/RM LASTED FOR A SHORT DURATION ZAN,LGT TO MOD,,32000.0,57.4840978041717,-153.94717961466506,2017-05-16 13:55:00+00:00,2.0,0,H
T,PA46,SAF UUA /OV SAF095025/TM 1759/FL140/TP PA46/TB SEV/RM ZAB TMU,SEV,,14000.0,35.58079216567921,-105.57877783522382,2017-05-03 17:59:00+00:00,5.0,0,L
F,BE35,KLNK UA /OV 20 SE LNK/TM 1650/FL060/TP BE35/SK BKN043-TOP050/TB MOD,MOD,,6000.0,40.6120986477023,-96.4531245225718,2017-05-21 16:50:00+00:00,3.0,0,L
T,C182,MSV UUA /OV ALB225040 /TM 2030 /FL100 /TP C182 /TB SEV,SEV,,10000.0,42.28612729540461,-74.44569884764678,2017-05-17 20:30:00+00:00,5.0,0,L
T,CRJ9,CSV UUA /OV HCH035030/TM 0100/FL330/TP CRJ9/TB EXTREM SEV-EXTREM 330/RM NO INJURIES/DAMAGE REPORTED ZTLFD,EXTREM SEV-EXTREM 330,,33000.0,36.189609197835466,-84.62646520905602,2017-05-31 01:00:00+00:00,5.0,1,U
F,B737,CLE UA /OV DJB001001 /TM 1040 /FL340 /TP B737 /WV 32740KT /TB INTMT MOD CHOP ABV 340/RM AWC-WEB,INTMT MOD CHOP ABV 340,,34000.0,41.376665478048345,-82.15961243321007,2017-05-11 10:40:00+00:00,3.0,0,M
T,MD83,MBPV UUA /OV GTK200070/TM 0231/FL300/TP MD83/TB SEV,SEV,,30000.0,20.23360314137497,-71.57840089648226,2017-05-05 02:31:00+00:00,5.0,0,M
F,C152,SBA UA /OV KSBA-SBA090013 /TM 0615 /FL055 /TP C152 /TB LGT,LGT,,5500.0,34.42611,-119.84361,2017-05-02 06:15:00+00:00,1.0,0,L
F,A321,LOZ UA /OV LOZ/TM 1606/FL290/TP A321/TB MOD,MOD,,29000.0,37.087,-84.077,2017-05-13 16:06:00+00:00,3.0,0,M
T,C560,GRI UUA /OV GRI/TM 0051/FL310/TP C560/TB SEV,SEV,,31000.0,40.96754,-98.30964,2017-05-19 00:51:00+00:00,5.0,0,M
F,A319,LGC UA /OV LGC230030/TM 0155/FL300/TP A319/TB LGT CHOP/RM ZTLFD,LGT CHOP,,30000.0,32.687440162232505,-85.52939450682878,2017-05-06 01:55:00+00:00,1.0,0,M
T,E75L,RAP UUA /OV RAP209055/TM 0330/FL340/TP E75L/TB SEV/RM ZDV. LASTED THREE MINUTES,SEV,,34000.0,43.24353032787736,-103.67568360122895,2017-05-27 03:30:00+00:00,5.0,0,U
T,C56X,ECG UUA /OV ECG113190/TM 2331/FL450/TP C56X/TB SEV,SEV,,45000.0,35.023164537149285,-72.55924052374903,2017-05-25 23:31:00+00:00,5.0,0,M
F,PA31,BTT UA /OV CXF /TM 1820 /FL090 /TP PA31 /WX SHSN N-E-SW /TB LGT THRU 090 /RM WIND SOUTHERLY 10-15KT STANDING PUDDLES ON RWY MULTIPLE SCT LAYERS THROUGH 090,LGT THRU 090,,9000.0,67.25,-150.2,2017-05-25 18:20:00+00:00,1.0,0,L
T,B763,RHI UUA /OV RHI180030/TM 1350/FL280/TP B763/TB SEV CAT,SEV CAT,,28000.0,45.1311494999595,-89.46747,2017-05-03 13:50:00+00:00,5.0,0,H
